Title,User,Relative time,Date,Time,Score,Link,Question
Ask HN: A retrofitted C dialect?,anqurvanillapy,2 days ago,2025-02-22,08:11:45,7,https://news.ycombinator.com/item?id=43137171,"Hi I'm Anqur, a senior software engineer with different backgrounds where development in C was often an important part of my work. E.g.1) Game: A Chinese/Vietnam game with C/C++ for making server/client, Lua for scripting [1]. 2) Embedded systems: Switch/router with network stack all written in C [2]. 3) (Networked) file system: Ceph FS client, which is a kernel module. [3](I left some unnecessary details in links, but are true projects I used to work on.)Recently, there's a hot topic about Rust and C in kernel and a message [4] just draws my attention, where it talks about the ""Rust"" experiment in kernel development:> I'd like to understand what the goal of this Rust ""experiment"" is:  If we want to fix existing issues with memory safety we need to do that for existing code and find ways to retrofit it.So for many years, I keep thinking about having a new C dialect for retrofitting the problems, but ofC itself.Sometimes big systems and software (e.g. OS, browsers, databases) could be made entirely in different languages like C++, Rust, D, Zig, etc. But typically, like I slightly mentioned above, making a good filesystem client requires one to write kernel modules (i.e. to provide a VFS implementation. I do know FUSE, but I believe it's better if one could use VFS directly), it's not always feasible to switch languages.And I still love C, for its unique ""bare-bone"" experience:1) Just talk to the platform, almost all the platforms speak C. Nothing like Rust's PAL (platform-agnostic layer) is needed. 2) Just talk to other languages, C is the lingua franca (except Go needs no libc by default). Not to mention if I want WebAssembly to talk to Rust, `extern ""C""` is need in Rust code. 3) Just a libc, widely available, write my own data structures carefully. Since usually one is writing some critical components of a bigger system in C, it's just okay there are not many choices of existing libraries to use. 4) I don't need an over-generalized generics functionality, use of generics is quite limited.So unlike a few `unsafe` in a safe Rust, I want something like a few ""safe"" in an ambient ""unsafe"" C dialect. But I'm not saying ""unsafe"" is good or bad, I'm saying that ""don't talk about unsafe vs safe"", it's C itself, you wouldn't say anything is ""safe"" or ""unsafe"" in C.Actually I'm also an expert on implementing advanced type systems, some of my works include:1) A row-polymorphic JavaScript dialect [5]. 2) A tiny theorem prover with Lean 4 syntax in less than 1K LOC [6]. 3) A Rust dialect with reuse analysis [7].Language features like generics, compile-time eval, trait/typeclass, bidirectional typechecking are trivial for me, I successfully implemented them above.For the retrofitted C, these features initially come to my mind:1) Code generation directly to C, no LLVM IR, no machine code. 2) Module, like C++20 module, to eliminate use of headers. 3) Compile-time eval, type-level computation, like `malloc(int)` is actually a thing. 4) Tactics-like metaprogramming to generate definitions, acting like type-safe macros. 5) Quantitative types [8] to track the use of resources (pointers, FDs). The typechecker tells the user how to insert `free` in all possible positions, don't do anything like RAII. 6) Limited lifetime checking, but some people tells me lifetime is not needed in such a language.Any further insights? Shall I kickstart such project? Please I need your ideas very much.[1]: https://vi.wikipedia.org/wiki/V%C3%B5_L%C3%A2m_Truy%E1%BB%81n_K%E1%BB%B3[2]: https://e.huawei.com/en/products/optical-access/ma5800[3]: https://docs.ceph.com/en/reef/cephfs/[4]: https://lore.kernel.org/rust-for-linux/Z7SwcnUzjZYfuJ4-@infradead.org/[5]: https://github.com/rowscript/rowscript[6]: https://github.com/anqurvanillapy/TinyLean[7]: https://github.com/SchrodingerZhu/reussir-lang[8]: https://bentnib.org/quantitative-type-theory.html"
Ask HN: How do you use local LLMs?,Haeuserschlucht,3 days ago,2025-02-21,08:52:01,7,https://news.ycombinator.com/item?id=43125486,"What applications(as in use cases, not in software names) have you found for local LLMs that you use yourself on a daily basis, and which LLMs do you use?"
Ask HN: How can I prepare my digital life for geopolitical disruptions?,mwinatschek,4 days ago,2025-02-20,09:16:45,30,https://news.ycombinator.com/item?id=43112703,"I'm from Germany and currently rely on macOS and iOS, with all my personal data stored in iCloud. Recent political tensions have made me question what might happen in the event of a military conflict between the US and Europe. Could Apple be forced to shut down its services in Europe? What would happen to my devices, operating systems, and stored data in such a scenario?Are there steps I can take now to prepare for this possibility? Alternatives like Windows and Android are also American-based, and even Linux has strong ties to the US. What options do I have to ensure access to my devices and data during such an event?I’d appreciate any advice or strategies for preparing for this kind of situation."
"I'm broke and non-technical, trying to develop tech startup",vyasaveda,2 days ago,2025-02-22,17:47:25,5,https://news.ycombinator.com/item?id=43141235,"Before COVID, I started a marketing and consulting services in Nepal, which failed horribly leaving some thousand in debt. Since, I'm trying to develop a product for high school graduates and entrepreneurs to help finding out PMF and FMF, leaving no burden to start their journey as I've been there. I'm 22 now and the most productive age is slipping out of hand.The FMF and PMF doesn't have strong back support inside south Asia, as compared to west. Though, investors are interested and non-technical individuals have 46% and 68% positive response on it.How to get started from zero? And what's the right way and path to start and work on? I'm good at research, communication, presentation and management."
Ask HN: Did you grow up with adventure games and how did that affect yo?,HellDunkel,10 hours ago,2025-02-24,17:48:07,7,https://news.ycombinator.com/item?id=43162513,I grew up with sierra adventure games and these early cga/ega graphics still inspire me up to this day. it made me pursue a career in computer graphics.
Ask HN: How can I get my 7-year-old started with web development?,johnz,4 days ago,2025-02-20,22:43:53,9,https://news.ycombinator.com/item?id=43121372,"I started my career as a front-end developer, almost twenty years ago, and have been doing the EM thing for the last 10 or so years.My 7 year-old really enjoys understanding how things work and building physical things. Today I asked her if she wanted to try writing code and she lit up.What resources, tools, services, etc do other parents recommend to help me and my daughter started?For those who have introduced kids to programming, what resources, tools, or services would you recommend to help me and my daughter get started?"
How to create LLM-driven tiny gnome robots?,r33b33,6 days ago,2025-02-18,12:54:51,13,https://news.ycombinator.com/item?id=43088935,"You know, like in the movie ""The Borrowers"". Since we have human-sized bipedals now, it shouldn't be impossible to create miniture robots that would act like living beings, right?It would be amazing to have a small family of electric gnomes living with you. Doll house and everything. Kind of like real life Sims.So realistically, how complex would it be to scale it all down to five, seven inches? Any startups working on this?"
Ask HN: Dot EU domain instead of dot com?,skwee357,3 days ago,2025-02-21,09:25:03,9,https://news.ycombinator.com/item?id=43125655,"I'm working on a service that targets mainly EU companies/businesses. I have either the option to get servicename.eu or euservicename.comI know the .com is king, and I always prefer to get .com for non-personal projects. However, I don't have much experience targeting primarily EU markets, so I'm not sure how common it is for EU businesses to be familiar with .eu domains.Can anyone share their experience with .eu domains? Is it as popular as .com for EU or just a niche TLD created for the sake of consistency?"
How do you approach appealing to formal seniority in a technical discussion?,begoon,12 hours ago,2025-02-24,16:05:48,6,https://news.ycombinator.com/item?id=43161112,"How do you approach appealing to formal seniority in a technical discussion? (""Listen, I am a senior/staff/honoured/etc. engineer here""), formal education (""Listen, I'm PhD, actually""), certifications (""I passed an official certification on this""), years of experience (""Trust me, I have been doing it for X years""), etc., without an actual point to bring to the argument?Do you take any value of what I listed above as extra points to the actual objective details of the conversation? Do you ignore all that and focus on actual related facts brought by parties to the argument?"
Ask HN: My father passed away. How do deal with the grief?,gogo61,4 hours ago,2025-02-24,23:37:25,10,https://news.ycombinator.com/item?id=43166256,It has been one month since he passed and i have been continuously crying. I am writing this with tears in my eye.
"Ask HN: Former devs who can't get a job, what did you end up doing for work?",throw81398475,8 hours ago,2025-02-24,20:22:37,20,https://news.ycombinator.com/item?id=43164498,"That's all.Savings are getting low, and I'm going to be struggling to pay rent soon.  I'm curious what other kinds of work other former developers got into and if they like it.  Cheers."
Ask HN: Have you written or consumed OpenAPI Arazzo specification?,sb13,16 hours ago,2025-02-24,11:41:47,5,https://news.ycombinator.com/item?id=43158402,"Hi HN,I recently came across the Arazzo specification within the OpenAPI initiative. It defines a standard to express workflows involving multiple APIs. A couple of main use cases here are automatic API invocation with LLMs and automated tests.I want to auto generate API tests based on these specs and would like to see other examples. Is anyone here writing or consuming Arazzo specs?Reference: https://www.openapis.org/arazzo"
Ask HN: Can I really create a company around my open-source software?,darkhorse13,4 days ago,2025-02-18,08:37:01,73,https://news.ycombinator.com/item?id=43087383,"This is a serious question because I'll be the first to admit, I'm not a great business person. Also genuinely not trying to just promote my software either, but looking for some advice and feedback.I recently built and launched Forms.md, which is an open source JS library that lets you create multi-step forms and surveys. The forms themselves are very similar to what you would find on Typeform. The library works anywhere you can run JS, so it works with all web tech stacks: Django, Rails, React, Angular, etc. The library itself is just the front-end form builder, there is no backend because I expect people to just submit their forms directly to their database as that should be fairly easy to set up. It's also licensed under Apache-2.0.Website:https://forms.mdRepo:https://github.com/formsmd/formsmdSome backstory, this was initially known as blocks.md, and I was charging for a one-time license under BUSL. But that version was quite difficult to use because it only worked with Markdown files.This time, I'm charging around $25/month in order to remove the branding. Everything else is completely free. Now this is the part I struggle with: I feel like the quality of the software is quite high and so is the output. But can this be an actually viable business model? I have really thought about just making it entirely free (even the branding removal) and just seeing it grow, but I would love to make some money from this and potentially even do this full-time (God willing). I spent months building this, and I constantly keep on doubting myself on what to do. I even hesitated to launch for 2 weeks because I was really anxious.Any honest feedback on this? Could I actually make this into a company or do I need to start adding more features like backend, integrations, etc.? I'm kinda burned out at the moment, just left my day-job, so it's all a bit of a mess really. If anyone has any advice, I'm all ears. My email is also on my profile.Some other questions:- Should I go back to charging a one-time fee?- How do I even reach out to potential customers/users?"
